t,x,y,z,qw,qx,qy,qz,tx,ty,tz
0.64,31.3279,-0.316184,998.675,-0.228105,-0.208474,0.94062,0.140501,100,0,1000
0.645,31.5638,-0.327877,998.651,-0.195775,-0.223411,0.936597,0.185862,100,0,1000
0.65,31.7996,-0.339806,998.628,-0.163553,-0.236977,0.930258,0.227404,100,0,1000
0.655,32.0353,-0.351969,998.605,-0.130274,-0.250182,0.920511,0.270365,100,0,1000
0.66,32.2709,-0.364376,998.581,-0.0962504,-0.262738,0.907319,0.31381,100,0,1000
0.665,32.5064,-0.377026,998.558,-0.0619192,-0.274409,0.891417,0.355304,100,0,1000
0.67,32.7418,-0.389927,998.534,-0.0263935,-0.285343,0.87113,0.398766,100,0,1000
0.675,32.9771,-0.403082,998.51,0.00867774,-0.295218,0.848539,0.439037,100,0,1000
0.68,33.2123,-0.416495,998.486,0.0448188,-0.303967,0.821171,0.48091,100,0,1000
0.685,33.4474,-0.43017,998.462,0.0802197,-0.311637,0.791571,0.519484,100,0,1000
0.69,33.6824,-0.444109,998.438,0.115982,-0.317967,0.75788,0.55773,100,0,1000
0.695,33.9172,-0.458319,998.414,0.151845,-0.322756,0.720062,0.595217,100,0,1000
0.7,34.152,-0.472807,998.39,0.187197,-0.326226,0.679129,0.630331,100,0,1000
0.705,34.3867,-0.48756,998.366,0.220047,-0.329606,0.639186,0.659075,100,0,1000
0.71,34.6213,-0.502574,998.341,0.253432,-0.330763,0.594048,0.688095,100,0,1000
0.715,34.8558,-0.517863,998.317,0.286536,-0.33007,0.544953,0.715525,100,0,1000
0.72,35.0901,-0.533431,998.292,0.318149,-0.328115,0.494089,0.739593,100,0,1000
0.725,35.3244,-0.549283,998.268,0.349224,-0.32399,0.439239,0.761671,100,0,1000
0.73,35.5585,-0.565421,998.243,0.378428,-0.319012,0.383358,0.779783,100,0,1000
0.735,35.7926,-0.581846,998.218,0.406537,-0.31173,0.324244,0.795247,100,0,1000
0.74,36.0266,-0.598564,998.194,0.432838,-0.303194,0.263591,0.806997,100,0,1000
0.745,36.2604,-0.615569,998.169,0.456592,-0.294115,0.203396,0.814647,100,0,1000
0.75,36.4942,-0.632859,998.144,0.47851,-0.28346,0.141876,0.818871,100,0,1000
0.755,36.7278,-0.650441,998.119,0.498969,-0.27015,0.0776261,0.81977,100,0,1000
0.76,36.9613,-0.668314,998.094,0.516434,-0.257095,0.0151726,0.816681,100,0,1000
0.765,37.1948,-0.686477,998.069,0.532064,-0.241911,-0.0489257,0.809934,100,0,1000
0.77,37.4281,-0.704933,998.044,0.545183,-0.225784,-0.112669,0.799439,100,0,1000
0.775,37.6613,-0.723691,998.019,0.556486,-0.206516,-0.178664,0.7847,100,0,1000
0.78,37.8944,-0.742755,997.993,0.564726,-0.187015,-0.242706,0.766292,100,0,1000
0.785,38.1275,-0.762129,997.968,0.570611,-0.164999,-0.307844,0.743244,100,0,1000
0.79,38.3604,-0.781813,997.943,0.573058,-0.143963,-0.369175,0.717349,100,0,1000
0.795,38.5932,-0.801805,997.918,0.572844,-0.121086,-0.430452,0.686949,100,0,1000
0.8,38.8259,-0.822117,997.893,0.569853,-0.0957471,-0.491759,0.651363,100,0,1000
0.805,39.0585,-0.842769,997.867,0.563954,-0.0669851,-0.553174,0.609481,100,0,1000
0.81,39.291,-0.863771,997.842,0.554485,-0.0379091,-0.610863,0.563875,100,0,1000
0.815,39.5234,-0.885123,997.817,0.541456,-0.00863017,-0.664716,0.514687,100,0,1000
0.82,39.7556,-0.906837,997.792,0.524798,0.0238944,-0.717057,0.45809,100,0,1000
0.825,39.9878,-0.928934,997.767,0.504323,0.0578028,-0.765141,0.396076,100,0,1000
0.83,40.2199,-0.951427,997.741,0.479606,0.0927255,-0.808321,0.32863,100,0,1000
0.835,40.4518,-0.974311,997.716,0.451554,0.124424,-0.843539,0.262792,100,0,1000
0.84,40.6837,-0.997575,997.691,0.420087,0.155365,-0.87263,0.194696,100,0,1000
0.845,40.9154,-1.02121,997.666,0.385978,0.184044,-0.894918,0.127557,100,0,1000
0.85,41.1471,-1.04522,997.641,0.348901,0.211668,-0.911038,0.058942,100,0,1000
0.855,41.3786,-1.0696,997.616,0.308965,0.237902,-0.92078,-0.0103953,100,0,1000
0.86,41.61,-1.09436,997.591,0.266681,0.262417,-0.92395,-0.0795932,100,0,1000
0.865,41.8413,-1.11948,997.566,0.222761,0.284758,-0.920679,-0.147106,100,0,1000
0.87,42.0726,-1.14497,997.541,0.177878,0.304693,-0.911437,-0.21167,100,0,1000
0.875,42.3037,-1.17082,997.516,0.131955,0.322601,-0.895941,-0.275328,100,0,1000
0.88,42.5346,-1.19703,997.492,0.084494,0.338549,-0.873705,-0.338946,100,0,1000
0.885,42.7655,-1.22361,997.467,0.0366078,0.351997,-0.845002,-0.400911,100,0,1000
0.89,42.9963,-1.25055,997.443,-0.00999914,0.363001,-0.812627,-0.455816,100,0,1000
0.895,43.227,-1.27785,997.418,-0.0570638,0.371737,-0.774538,-0.508573,100,0,1000
0.9,43.4575,-1.30549,997.394,-0.102408,0.378328,-0.733423,-0.555402,100,0,1000
0.905,43.688,-1.33348,997.37,-0.148116,0.382011,-0.685907,-0.601383,100,0,1000
0.91,43.9184,-1.36184,997.345,-0.196123,0.381884,-0.628438,-0.648665,100,0,1000
0.915,44.1486,-1.39061,997.321,-0.24588,0.376967,-0.559947,-0.695628,100,0,1000
0.92,44.3787,-1.41981,997.297,-0.292262,0.3693,-0.488401,-0.734619,100,0,1000
0.925,44.6088,-1.4494,997.273,-0.334051,0.36033,-0.417121,-0.76458,100,0,1000
0.93,44.8387,-1.47939,997.25,-0.372608,0.349105,-0.344022,-0.787996,100,0,1000
0.935,45.0685,-1.50975,997.226,-0.406378,0.337625,-0.273376,-0.803823,100,0,1000
0.94,45.2982,-1.54046,997.203,-0.438176,0.32345,-0.199246,-0.814667,100,0,1000
0.945,45.5278,-1.57154,997.18,-0.46819,0.305479,-0.120306,-0.82037,100,0,1000
0.95,45.7573,-1.60301,997.157,-0.494895,0.284832,-0.0398554,-0.819977,100,0,1000
0.955,45.9866,-1.63486,997.134,-0.518005,0.261319,0.041333,-0.813434,100,0,1000
0.96,46.2159,-1.66711,997.111,-0.537059,0.235961,0.122024,-0.800625,100,0,1000
0.965,46.4451,-1.69974,997.089,-0.552204,0.208312,0.203099,-0.781299,100,0,1000
0.97,46.6741,-1.73277,997.067,-0.563293,0.177835,0.284199,-0.755186,100,0,1000
0.975,46.903,-1.76619,997.045,-0.569457,0.14709,0.361127,-0.723651,100,0,1000
0.98,47.1319,-1.80001,997.023,-0.571278,0.11448,0.435842,-0.685986,100,0,1000
0.985,47.3606,-1.83422,997.001,-0.568038,0.0845664,0.503126,-0.645791,100,0,1000
0.99,47.5892,-1.8688,996.98,-0.561151,0.0523438,0.568031,-0.599758,100,0,1000
0.995,47.8177,-1.90375,996.959,-0.549957,0.021459,0.627282,-0.551003,100,0,1000
1,48.0461,-1.93908,996.938,-0.534911,-0.0124395,0.68459,-0.495028,100,0,1000
1.005,48.2743,-1.97481,996.918,-0.515037,-0.0483822,0.738824,-0.431897,100,0,1000
1.01,48.5025,-2.01095,996.898,-0.490781,-0.0835259,0.786437,-0.365615,100,0,1000
1.015,48.7306,-2.04748,996.878,-0.463567,-0.112658,0.824217,-0.305089,100,0,1000
1.02,48.9585,-2.08436,996.858,-0.433089,-0.141099,0.85662,-0.242338,100,0,1000
1.025,49.1864,-2.1216,996.838,-0.399944,-0.169094,0.883228,-0.177089,100,0,1000
1.03,49.4141,-2.15921,996.819,-0.363689,-0.19583,0.903944,-0.11075,100,0,1000
1.035,49.6417,-2.1972,996.8,-0.322915,-0.224005,0.918819,-0.036315,100,0,1000
1.04,49.8692,-2.23559,996.782,-0.279174,-0.250295,0.926257,0.0382509,100,0,1000
1.045,50.0966,-2.27438,996.764,-0.232159,-0.275046,0.925966,0.11419,100,0,1000
1.05,50.3239,-2.31356,996.746,-0.185055,-0.296198,0.918813,0.183859,100,0,1000
1.055,50.551,-2.35312,996.728,-0.138148,-0.314124,0.9065,0.245967,100,0,1000
1.06,50.778,-2.39304,996.711,-0.088819,-0.330545,0.886558,0.311233,100,0,1000
1.065,51.005,-2.43333,996.695,-0.0391066,-0.344471,0.860307,0.373741,100,0,1000
1.07,51.2318,-2.47398,996.679,0.00996326,-0.355983,0.829376,0.430479,100,0,1000
1.075,51.4584,-2.515,996.663,0.0594148,-0.364917,0.791944,0.485933,100,0,1000
1.08,51.685,-2.55638,996.647,0.108541,-0.37155,0.749291,0.537338,100,0,1000
1.085,51.9115,-2.59811,996.632,0.154728,-0.376426,0.70502,0.580784,100,0,1000
1.09,52.1378,-2.64018,996.618,0.201636,-0.378283,0.653727,0.623607,100,0,1000
1.095,52.364,-2.6826,996.604,0.245214,-0.378689,0.601572,0.659224,100,0,1000
1.1,52.5901,-2.72535,996.59,0.28759,-0.376146,0.544966,0.691967,100,0,1000
1.105,52.8161,-2.76845,996.577,0.32835,-0.371004,0.484639,0.720879,100,0,1000
1.11,53.0419,-2.81187,996.564,0.365676,-0.365836,0.424869,0.742921,100,0,1000
1.115,53.2676,-2.85559,996.552,0.399255,-0.361251,0.366988,0.75856,100,0,1000
1.12,53.4933,-2.89961,996.54,0.431217,-0.354381,0.30664,0.770998,100,0,1000
1.125,53.7188,-2.94393,996.529,0.460735,-0.345949,0.245564,0.779577,100,0,1000
1.13,53.9441,-2.98855,996.519,0.490134,-0.333058,0.178136,0.785562,100,0,1000
1.135,54.1694,-3.03349,996.508,0.516206,-0.320206,0.111198,0.786533,100,0,1000
1.14,54.3945,-3.07874,996.499,0.539521,-0.305299,0.0437799,0.78345,100,0,1000
1.145,54.6195,-3.1243,996.49,0.559913,-0.289226,-0.0239086,0.776063,100,0,1000
1.15,54.8444,-3.17018,996.481,0.578316,-0.269677,-0.0948616,0.764085,100,0,1000
1.155,55.0692,-3.21636,996.473,0.590573,-0.256012,-0.157156,0.748989,100,0,1000
1.16,55.2938,-3.26282,996.465,0.600792,-0.239466,-0.220193,0.730219,100,0,1000
1.165,55.5183,-3.30956,996.458,0.606637,-0.226469,-0.277777,0.709608,100,0,1000
1.17,55.7427,-3.35655,996.452,0.610305,-0.211782,-0.335719,0.685543,100,0,1000
1.175,55.9669,-3.40382,996.446,0.61166,-0.195265,-0.393595,0.657896,100,0,1000
1.18,56.191,-3.45135,996.44,0.610361,-0.177538,-0.450407,0.626955,100,0,1000
1.185,56.415,-3.49918,996.436,0.606906,-0.155287,-0.509648,0.589754,100,0,1000
1.19,56.6388,-3.54731,996.432,0.599917,-0.133213,-0.5654,0.550161,100,0,1000
1.195,56.8625,-3.59574,996.428,0.58944,-0.112962,-0.616007,0.510231,100,0,1000
1.2,57.086,-3.64442,996.425,0.574825,-0.0972758,-0.660891,0.472584,100,0,1000
1.205,57.3094,-3.69336,996.423,0.557653,-0.0801903,-0.704603,0.431425,100,0,1000
1.21,57.5326,-3.74256,996.421,0.53834,-0.0613289,-0.746273,0.38666,100,0,1000
1.215,57.7557,-3.79202,996.421,0.516887,-0.0437269,-0.783273,0.342636,100,0,1000
1.22,57.9787,-3.84173,996.42,0.49338,-0.026031,-0.816982,0.297386,100,0,1000
1.225,58.2015,-3.8917,996.421,0.467731,-0.00826445,-0.847472,0.250898,100,0,1000
1.23,58.4241,-3.94191,996.422,0.440061,0.00799383,-0.873952,0.20613,100,0,1000
1.235,58.6466,-3.99236,996.424,0.409765,0.0230839,-0.897322,0.162395,100,0,1000
1.24,58.869,-4.04302,996.427,0.377409,0.0353843,-0.917059,0.123748,100,0,1000
1.245,59.0912,-4.09387,996.43,0.344156,0.0459802,-0.933587,0.0886471,100,0,1000
1.25,59.3132,-4.1449,996.435,0.309513,0.0568594,-0.947763,0.0521059,100,0,1000
1.255,59.5351,-4.19612,996.44,0.273809,0.0666008,-0.959299,0.0183853,100,0,1000
1.26,59.7568,-4.24751,996.446,0.237501,0.0766532,-0.968207,-0.0171049,100,0,1000
1.265,59.9783,-4.29907,996.452,0.200295,0.0851717,-0.974894,-0.0469938,100,0,1000
1.27,60.1997,-4.35078,996.46,0.162334,0.0934763,-0.979305,-0.0766325,100,0,1000
1.275,60.421,-4.40264,996.468,0.124373,0.100898,-0.981804,-0.102044,100,0,1000
1.28,60.642,-4.45465,996.478,0.0853326,0.109285,-0.980816,-0.137022,100,0,1000
1.285,60.8629,-4.50683,996.488,0.0461557,0.116832,-0.978447,-0.163895,100,0,1000
1.29,61.0836,-4.55914,996.498,0.00610548,0.124083,-0.97504,-0.18402,100,0,1000
1.295,61.3042,-4.61156,996.51,-0.0352888,0.131327,-0.969623,-0.203321,100,0,1000
1.3,61.5246,-4.66409,996.523,-0.0765643,0.138489,-0.962811,-0.218983,100,0,1000
1.305,61.7448,-4.71671,996.536,-0.117236,0.145833,-0.955219,-0.229226,100,0,1000
