run,dx,dy,dz,dvx,dvy,dvz,missDistance,interceptTime,hit
447,261.862,14.1459,-97.4069,4402.38,38.606,-25.45,4.98914,2.0815,1
448,152.924,80.9502,90.991,4369.47,-28.7586,6.62178,9.16936,2.1049,1
449,-29.646,33.4941,4.01918,4434.98,-20.1697,4.77151,11.4138,2.1436,0
450,-40.6991,-80.6504,-124.442,4373.02,5.48848,-40.3593,10.8894,2.1464,0
451,-36.1787,-122.44,-104.327,4402.91,-45.522,-0.152158,14.3813,2.1454,0
452,-197.455,32.2655,-35.7345,4430.81,-0.170819,9.67932,11.3175,2.1796,0
453,-5.36892,-60.3245,64.0216,4397.67,4.51837,40.7636,9.12088,2.1386,1
454,-51.0921,219.504,96.0704,4406.8,-20.1893,4.07886,5.8736,2.1487,1
455,-38.5064,-79.6808,-23.0768,4388.68,47.1445,1.70384,12.336,2.1458,0
456,159.769,-117.719,-98.1988,4433.76,24.7264,24.894,11.6446,2.1035,0
457,-72.0927,-127.478,-55.5336,4417.89,-40.3101,22.2011,4.4123,2.1529,1
458,120.294,-118.997,257.263,4410.45,17.8823,57.7461,8.92019,2.1122,1
459,24.3526,-201.997,15.1498,4379.89,-18.8912,11.1894,11.7368,2.1326,0
460,-34.7789,271.866,-69.2632,4446.59,-1.3297,33.5712,13.3121,2.1454,0
461,-33.4826,-111.042,108.367,4411.85,-1.36658,39.1988,8.20691,2.1446,1
462,-104.715,153.365,168.056,4358.52,26.0658,-51.7887,9.43251,2.1603,1
463,-15.5135,-157.938,42.568,4410.89,-26.4016,-58.7709,11.2986,2.1409,0
464,62.2033,-175.325,78.2006,4420.7,4.08945,2.9046,5.17807,2.1244,1
465,-9.68342,15.1344,-151.556,4405.46,-13.2088,24.797,12.9687,2.1398,0
466,15.146,-103.238,6.74072,4382.76,-25.5636,-17.8988,7.63349,2.1343,1
467,-79.461,161.426,39.259,4403.27,-16.076,-46.008,13.0679,2.1546,0
468,94.9632,-15.9207,14.7174,4420.04,-50.067,-27.9884,11.4518,2.117,0
469,54.1213,-15.5019,43.6828,4425.1,9.48287,-0.138179,11.3012,2.1258,0
470,98.3923,149.44,-152.908,4378.04,-8.52079,-20.87,14.4338,2.1169,0
471,139.964,57.8775,137.394,4428.98,-25.8489,0.389761,8.99233,2.1075,1
472,-87.9965,57.2594,-13.0659,4401.01,-29.1429,11.0881,11.1286,2.1563,0
473,-10.4571,-210.17,-39.9443,4375.95,-13.3291,3.19464,13.8499,2.1402,0
474,-105.443,-130.439,-153.703,4412.21,-9.59947,19.9903,10.9154,2.1603,0
475,-48.9136,105.674,233.446,4389.1,-8.14826,28.0206,11.6031,2.1483,0
476,-32.5782,155.599,200.659,4355.14,20.4651,24.956,8.40795,2.1449,1
477,80.7842,250.116,41.7051,4386.11,-24.6149,6.37432,4.97376,2.1208,1
478,107.504,40.4144,31.9476,4384.93,-8.32456,3.34175,11.6215,2.1145,0
479,103.877,-34.2059,-148.628,4370.99,-15.4131,2.08092,11.9217,2.1156,0
480,-94.3829,100.708,-16.9595,4404.16,13.0255,-52.6392,12.7445,2.1576,0
481,-25.3324,118.812,2.26671,4356.44,16.283,-43.4135,12.423,2.143,0
482,117.362,66.6101,229.091,4409.12,32.6014,-6.41727,8.61102,2.1127,1
483,-88.426,-106.813,117.574,4419.43,23.6802,3.53799,8.62049,2.1564,1
484,58.103,129.843,98.3394,4364.87,11.2705,-29.9725,10.6676,2.1252,0
485,-29.3214,-110.386,-22.0286,4398.39,8.47705,23.7051,11.9017,2.1438,0
486,-95.7417,22.0949,-27.3127,4396.81,16.0631,-2.43064,12.578,2.1579,0
487,85.5126,-85.2381,-114.77,4404.44,-19.3698,10.301,6.70473,2.1193,1
488,-56.7434,-131.982,107.63,4397.04,-13.3625,14.4033,12.6943,2.1497,0
489,-137.825,76.5842,-13.9503,4426.93,-21.185,21.5139,10.9349,2.1668,0
490,166.518,-109.848,16.0949,4384.48,3.78805,-13.8944,10.8934,2.102,0
491,-9.17719,68.4237,-23.2446,4403.43,-7.31946,26.6074,11.8079,2.1394,0
492,-55.7162,51.5393,73.7584,4381.06,0.898302,42.2315,10.1842,2.1493,0
493,67.0221,86.5711,-110.132,4360.07,-2.707,14.0721,12.7542,2.1234,0
494,86.4643,-21.0039,9.19929,4398.73,1.20743,34.8985,8.84329,2.1189,1
495,22.242,43.2148,122.832,4408.76,17.4069,4.63352,10.0875,2.1327,0
496,99.3078,-40.7965,8.85656,4368.1,37.0579,21.9648,10.5141,2.1163,0
497,9.21782,-13.4418,4.32531,4395.79,12.6291,-20.9255,12.7644,2.1355,0
498,148.529,15.208,198.093,4433.43,13.3861,5.72675,8.3051,2.1058,1
499,-5.60471,6.85804,-102.514,4411.61,0.910146,-6.75291,12.8548,2.1387,0
500,21.4295,44.6198,145.281,4394.84,-5.45064,31.553,8.90679,2.1329,1
